KEY , ALPHA1 , ALPHA2 , GAPS , MATCHES , ALL , OVERLAP_TYPE ,R1L,R1S,R1E,R2L,R2S,R2E
seq5_1-seq8_92,0.247486904,0.246206212,0.020581374,0.108609814,0.053693744,Bad Overlap,1812,29,1777,18402,5280,7016
seq1_74-seq5_24,0.249038168,0.250548513,0.024505336,0.129020676,0.073465891,Bad Overlap,17426,1064,5142,4128,13,4124
seq7_91-seq8_51,0.250957374,0.251198569,0.021558512,0.107664186,0.052542313,Bad Overlap,27180,1,7013,7810,762,7783
seq6_84-seq9_98,0.251219405,0.251416773,0.022225287,0.107746373,0.052743649,Bad Overlap,7915,2031,7748,40412,16873,22596
seq1_89-seq7_89,0.252677572,0.252956216,0.022156773,0.121716796,0,Bad Overlap,15964,17,9501,31093,21587,31085
seq2_89-seq5_59,0.252761257,0.250319648,0.023009389,0.122646397,0.066911132,Bad Overlap,22066,15004,16789,1774,0,1762
seq2_21-seq5_96,0.254553839,0.255126334,0.023274965,0.128461348,0.071733409,Bad Overlap,4079,10,3322,12272,8942,12264
seq1_91-seq9_36,0.257275902,0.258683953,0.024324258,0.11557202,0.058893205,Bad Overlap,13297,0,4199,7262,3024,7254
seq9_57-seq9_98,0.257441391,0.258385583,0.024164344,0.156661429,0.101710284,Good Overlap,5871,0,5864,40412,16907,22800
seq7_89-seq9_67,0.257603562,0.260429154,0.023235643,0.106469002,0,Bad Overlap,31093,15,8578,10859,2163,10853
seq2_46-seq5_9,0.259594568,0.25740229,0.023465442,0.129365468,0.070805667,Bad Overlap,6307,1229,2548,1318,3,1307
seq2_52-seq6_77,0.263020347,0.263501539,0.024158257,0.129237415,0.070304081,Bad Overlap,2934,82,2900,11524,7862,10687
seq10_94-seq2_79,0.26497256,0.264358209,0.025460194,0.11978846,0.061095796,Bad Overlap,28601,12240,16682,4983,403,4831
seq6_17-seq8_85,0.265487698,0.268140528,0.02448274,0.121262027,0.061526634,Bad Overlap,2844,4,2421,8793,6264,8714
seq2_32-seq5_92,0.267079926,0.265238662,0.02611774,0.14166112,0.082148892,Bad Overlap,2045,4,2029,21913,5541,7547
origSeq_33-seq1_24,0.270674195,0.269704024,0.023956892,0.168268587,0.111613399,Bad Overlap,4147,7,1637,3526,1882,3504
origSeq_85-seq10_87,0.2715281,0.271460424,0.024455745,0.126171243,0.065497814,Bad Overlap,11542,59,5905,15897,10047,15891
seq6_65-seq9_36,0.271561855,0.269741539,0.023198457,0.113784386,0.054863956,Bad Overlap,10567,1,3814,7262,3475,7253
origSeq_64-seq9_52,0.271783181,0.272213315,0.024297703,0.132515661,0.071123109,Bad Overlap,9790,4,3223,5289,2058,5284
origSeq_36-origSeq_85,0.271843762,0.271708943,0.025966056,0.174130962,0.118190405,Good Overlap,2973,1,2938,11542,7832,10767
seq2_62-seq3_55,0.272236142,0.270121712,0.026385267,0.144639825,0.083699054,Bad Overlap,14392,1623,5100,3453,3,3443
seq4_51-seq8_94,0.272717235,0.27575591,0.025419467,0.123498957,0.062253842,Bad Overlap,2498,18,2488,19246,6577,9085
seq2_8-seq9_97,0.276719527,0.277058713,0.023990204,0.123261119,0.061916601,Bad Overlap,2970,12,2961,26090,7699,10653
seq10_52-seq7_7,0.277706019,0.276397516,0.022893666,0.11207488,0.052413575,Bad Overlap,11984,4264,6414,2492,22,2158
seq4_4-seq9_49,0.277737359,0.276289411,0.026142818,0.123630015,0.062973886,Bad Overlap,1536,2,1529,6324,3964,5480
seq10_81-seq7_38,0.281359906,0.281623087,0.023443565,0.113372893,0.052963612,Bad Overlap,19575,5939,9779,3883,12,3857
origSeq_13-seq10_66,0.281448615,0.278941035,0.025839702,0.128484044,0.066740041,Bad Overlap,4799,0,2347,5873,3540,5858
origSeq_56-seq4_93,0.281940701,0.28333154,0.024487177,0.151370798,0.088554473,Bad Overlap,3447,827,3442,20866,6655,9288
seq3_8-seq5_95,0.282468673,0.279091658,0.023846657,0.140648596,0.077818391,Bad Overlap,2419,5,2417,12099,6125,8497
seq10_77-seq6_12,0.282986896,0.283148859,0.023986863,0.110756133,0.050728148,Bad Overlap,15786,6939,9444,2573,5,2512
seq5_93-seq8_82,0.283239815,0.281399046,0.025447299,0.123778982,0.061616005,Bad Overlap,12999,38,7004,18544,11633,18536
seq1_58-seq9_98,0.283637887,0.283499339,0.025873955,0.132508473,0,Bad Overlap,8826,21,8822,40412,22224,31019
origSeq_83-seq9_69,0.284133551,0.282926124,0.025624444,0.135480271,0.072088328,Bad Overlap,15454,11,5917,11219,5343,11214
