KEY	ERROR	SCORE	OVERLAP TYPE
seq6_86-seq9_92	No error	0.496617766	Bad Overlap
seq6_86-seq7_57	No error	0.499611562	Bad Overlap
seq6_87-seq8_58	No error	0.501431023	Bad Overlap
seq6_89-seq8_34	No error	0.508872149	Bad Overlap
seq6_90-seq7_67	No error	0.518168692	Bad Overlap
seq6_90-seq7_87	No error	0.533210038	Bad Overlap
seq6_91-seq8_24	No error	0.501127497	Bad Overlap
seq6_92-seq7_83	No error	0	Bad Overlap
seq2_6-seq5_98	No error	0.584626409	Bad Overlap
seq2_8-seq9_97	No error	0.515787745	Bad Overlap
seq2_10-seq8_52	No error	0.549904761	Bad Overlap
seq2_11-seq4_12	No error	0.583372721	Bad Overlap
seq2_12-seq9_89	No error	0.523929181	Bad Overlap
seq2_13-seq6_85	No error	0.582043029	Bad Overlap
seq2_13-seq8_69	No error	0.551907584	Bad Overlap
seq2_16-seq5_85	No error	0.570361374	Bad Overlap
seq2_17-seq9_95	No error	0.523650829	Bad Overlap
seq2_19-seq2_93	No error	0.702211991	Good Overlap
seq2_19-seq4_75	No error	0.618486592	Bad Overlap
seq2_20-seq2_91	No error	0.686652227	Good Overlap
seq2_21-seq5_96	No error	0.577342983	Bad Overlap
seq2_26-seq9_94	No error	0.520823836	Bad Overlap
seq2_28-seq8_93	No error	0.529495128	Bad Overlap
seq2_32-seq5_92	No error	0.598286239	Bad Overlap
seq2_34-seq3_93	No error	0.616456746	Bad Overlap
seq2_34-seq3_70	No error	0.628461199	Bad Overlap
seq2_36-seq2_76	No error	0.671670324	Good Overlap
seq2_37-seq8_80	No error	0.544397346	Bad Overlap
seq2_38-seq4_85	No error	0.574148776	Bad Overlap
seq2_38-seq7_90	No error	0.528366449	Bad Overlap
seq2_38-seq9_31	No error	0.556571268	Bad Overlap
seq2_40-seq2_56	No error	0.648038167	Good Overlap
seq2_41-seq2_72	No error	0.695149295	Good Overlap
seq2_42-seq7_43	No error	0.560433357	Bad Overlap
seq2_43-seq2_65	No error	0.681773094	Good Overlap
seq2_43-seq5_73	No error	0.561283309	Bad Overlap
seq2_44-seq3_29	No error	0.601350581	Bad Overlap
seq2_44-seq3_39	No error	0.596601178	Bad Overlap
seq2_45-seq2_78	No error	0.683333689	Good Overlap
seq2_45-seq5_51	No error	0.578076003	Bad Overlap
seq2_45-seq2_93	No error	0.680273995	Good Overlap
seq2_46-seq5_9	No error	0.563774503	Bad Overlap
seq2_46-seq3_36	No error	0.727419178	Bad Overlap
seq2_50-seq8_52	No error	0.556375735	Bad Overlap
seq2_52-seq3_85	No error	0.602173381	Bad Overlap
seq2_52-seq6_77	No error	0.560968426	Bad Overlap
seq2_53-seq9_18	No error	0.519683003	Bad Overlap
seq2_55-seq5_60	No error	0.584545501	Bad Overlap
seq2_55-seq9_45	No error	0.531933076	Bad Overlap
seq2_58-seq3_91	No error	0.606099284	Bad Overlap
seq2_59-seq8_69	No error	0.540566402	Bad Overlap
seq2_62-seq6_89	No error	0.569546064	Bad Overlap
seq2_62-seq8_34	No error	0.543124478	Bad Overlap
seq2_62-seq3_55	No error	0.596484314	Bad Overlap
seq2_62-seq7_29	No error	0.534534194	Bad Overlap
seq2_63-seq9_30	No error	0.551896093	Bad Overlap
seq2_65-seq5_73	No error	0.579171826	Bad Overlap
seq2_66-seq6_54	No error	0.572158672	Bad Overlap
seq2_67-seq5_84	No error	0.579327674	Bad Overlap
seq2_68-seq7_79	No error	0.562042461	Bad Overlap
seq2_69-seq9_71	No error	0.503466675	Bad Overlap
seq2_72-seq4_1	No error	0.587422433	Bad Overlap
seq2_73-seq7_71	No error	0.55631161	Bad Overlap
seq2_75-seq3_67	No error	0.595458337	Bad Overlap
seq2_77-seq6_26	No error	0.555796518	Bad Overlap
seq2_78-seq2_93	No error	0.692572488	Good Overlap
seq2_78-seq5_51	No error	0.587068111	Bad Overlap
seq2_79-seq3_87	No error	0.596221243	Bad Overlap
seq2_80-seq6_71	No error	0.550602922	Bad Overlap
seq2_83-seq6_83	No error	0.582976937	Bad Overlap
seq2_83-seq5_31	No error	0.582100386	Bad Overlap
seq2_83-seq6_9	No error	0.588863582	Bad Overlap
seq2_83-seq2_92	No error	0.655645627	Good Overlap
seq2_84-seq4_74	No error	0.611464712	Bad Overlap
seq2_85-seq3_49	No error	0.600015723	Bad Overlap
seq2_85-seq3_46	No error	0.647326598	Bad Overlap
seq2_86-seq3_34	No error	0.608390425	Bad Overlap
seq2_87-seq5_38	No error	0.57046005	Bad Overlap
seq2_89-seq8_94	No error	0.546830441	Bad Overlap
seq2_89-seq4_51	No error	0.614483435	Bad Overlap
seq2_89-seq5_59	No error	0.563935376	Bad Overlap
seq2_91-seq9_77	No error	0.52233459	Bad Overlap
seq2_92-seq5_31	No error	0.590064254	Bad Overlap
seq2_92-seq6_83	No error	0.587472461	Bad Overlap
seq2_93-seq4_75	No error	0.592245132	Bad Overlap
seq2_94-seq9_24	No error	0.537255853	Bad Overlap
seq2_95-seq4_98	No error	0.583838577	Bad Overlap
seq2_95-seq5_82	No error	0.582937781	Bad Overlap
seq2_96-seq7_92	No error	0	Bad Overlap
seq2_96-seq8_4	No error	0.550296671	Bad Overlap
seq2_97-seq2_98	No error	0.681542644	Good Overlap
seq2_97-seq5_48	No error	0.570140844	Bad Overlap
seq2_97-seq4_38	No error	0.57990815	Bad Overlap
seq2_97-seq7_71	No error	0.568308281	Bad Overlap
seq2_98-seq5_48	No error	0.574666855	Bad Overlap
seq2_98-seq7_11	No error	0.561914907	Bad Overlap
origSeq_4-seq3_78	No error	0.644967043	Bad Overlap
origSeq_5-seq6_34	No error	0.5928338	Bad Overlap
origSeq_6-seq3_25	No error	0.667846589	Bad Overlap
origSeq_10-seq4_38	No error	0.65481013	Bad Overlap
origSeq_10-seq2_97	No error	0.611225986	Bad Overlap
origSeq_12-seq7_66	No error	0.569162599	Bad Overlap
origSeq_13-seq10_66	No error	0.534041287	Bad Overlap
origSeq_14-seq6_75	No error	0.60227978	Bad Overlap
origSeq_14-seq4_49	No error	0.631535222	Bad Overlap
origSeq_17-seq1_81	No error	0.680662822	Bad Overlap
origSeq_17-seq5_66	No error	0.594992791	Bad Overlap
origSeq_17-seq5_63	No error	0.587418957	Bad Overlap
origSeq_18-seq10_78	No error	0.532215986	Bad Overlap
origSeq_19-seq4_96	No error	0.626917965	Bad Overlap
origSeq_22-seq9_50	No error	0.546221111	Bad Overlap
origSeq_23-seq2_41	No error	0.636809434	Bad Overlap
origSeq_23-seq2_72	No error	0.629236605	Bad Overlap
origSeq_24-seq2_50	No error	0.674211184	Bad Overlap
origSeq_25-origSeq_55	No error	0.697553253	Good Overlap
origSeq_26-seq1_89	No error	0.654473582	Bad Overlap
origSeq_27-seq7_88	No error	0.589935469	Bad Overlap
origSeq_28-seq3_18	No error	0.664202661	Bad Overlap
origSeq_32-seq4_26	No error	0.612372185	Bad Overlap
origSeq_32-seq10_84	No error	0.56618812	Bad Overlap
origSeq_33-seq7_78	No error	0.577100987	Bad Overlap
origSeq_33-seq1_24	No error	0.694662046	Bad Overlap
origSeq_34-seq1_30	No error	0.676084061	Bad Overlap
origSeq_35-seq5_2	No error	0.606725169	Bad Overlap
origSeq_35-origSeq_50	No error	0.701280896	Good Overlap
origSeq_36-origSeq_85	No error	0.708196776	Good Overlap
origSeq_36-seq7_82	No error	0.579013122	Bad Overlap
origSeq_37-seq6_91	No error	0.592891464	Bad Overlap
origSeq_38-seq6_81	No error	0.609491722	Bad Overlap
origSeq_38-seq10_71	No error	0.530111003	Bad Overlap
origSeq_39-seq2_83	No error	0.642908981	Bad Overlap
origSeq_41-seq6_24	No error	0.588671038	Bad Overlap
origSeq_41-seq7_46	No error	0.574245752	Bad Overlap
origSeq_42-seq4_34	No error	0.651710387	Bad Overlap
origSeq_45-origSeq_47	No error	0.68067986	Good Overlap
origSeq_45-seq5_49	No error	0.593233223	Bad Overlap
origSeq_46-seq10_62	No error	0.543298706	Bad Overlap
origSeq_46-seq8_80	No error	0.564472593	Bad Overlap
origSeq_46-seq2_37	No error	0.639993218	Bad Overlap
origSeq_47-seq5_49	No error	0.591030934	Bad Overlap
origSeq_47-seq3_19	No error	0.649827304	Bad Overlap
origSeq_47-seq4_24	No error	0.632416902	Bad Overlap
origSeq_49-seq9_16	No error	0.546928764	Bad Overlap
origSeq_49-origSeq_67	No error	0.69220328	Good Overlap
origSeq_49-seq6_83	No error	0.597166934	Bad Overlap
origSeq_50-seq5_2	No error	0.581232891	Bad Overlap
origSeq_52-seq5_92	No error	0.638293246	Bad Overlap
origSeq_52-seq2_32	No error	0.617801607	Bad Overlap
origSeq_53-seq5_98	No error	0.598410825	Bad Overlap
origSeq_53-seq7_10	No error	0.596333383	Bad Overlap
